Compound name (unique),Compound name(synonyms),HMDB,KEGG,HMT ID,InChIKey
L-Glutamate,"L-Glutamate;glutamate;L-GLUTAMIC ACID;N-METHYL-D-ASPARTIC ACID;O-ACETYL-L-SERINE;O-Acetyl-L-Serine;GLUTAMIC ACID;(2S)-2-Aminopentanedioic acid;H-Glu-OH;(S)-2-Aminopentanedioic acid;Glutaminol;L-Glutaminic acid;glutacid;Glutamicol;Glutamidex;Aciglut;Glusate;Glutaton;glutaminic acid;(S)-Glutamic acid;L-glutamate;L-glu;D-Glutamiensuur;Acidum glutamicum;Poly-L-glutamate;alpha-aminoglutaric acid;L-(+)-glutamic acid;L-2-Aminoglutaric acid;POLYGLUTAMIC ACID;Acido glutamico;Glutamic acid polymer;Acide glutamique;1-Aminopropane-1,3-dicarboxylic acid;Acidum glutaminicum;glut;Glutamic acid, L-;(S)-(+)-Glutamic acid;Glutamic acid (VAN);Poly(alpha-L-glutamic acid);a-Glutamic acid;alpha-L-Glutamic acid polymer;Glutamic acid (H-3);Glutaminic acid (VAN);Glutamate, L-;alpha-Glutamic acid;a-Aminoglutaric acid;glu;Glutamic Acid [USAN:INN];Pentanedioic acid, 2-amino-, (S)-;2-Aminoglutaric acid;FEMA No. 3285;Glutamicacid;L-a-Aminoglutaric acid;CCRIS 7314;Acide glutamique [INN-French];Acido glutamico [INN-Spanish];Acidum glutamicum [INN-Latin];Glutamic acid, (S)-;alpha-Aminoglutaric acid (VAN);L-alpha-Aminoglutaric acid;AI3-18472;UNII-3KX376GY7L;MFCD00002634;Glutamic acid, L-, peptides;EPA Pesticide Chemical Code 374350;NSC 143503;Á-L-Glutamic Acid;Glutamic Acid (L-glutamic acid);2-Aminopentanedioic acid, (S)-;EINECS 200-293-7;25513-46-6;Poly-L-glutamic acid;3KX376GY7L;CHEBI:16015;WHUUTDBJXJRKMK-VKHMYHEASA-N;NCGC00024502-03;L(+)-Glutamic acid, 99%;L-Glutamic acid-13C5,15N;L-2-Aminopentanedioic acid;L-Glutaminsaeure;L-Acido glutamico;(2S)-2-azanylpentanedioic acid;.alpha.-Glutamic acid;.alpha.-Aminoglutaric acid;L(+)-Monosodium glutamate monohydrate;1-amino-propane-1,3-dicarboxylic acid;glt;L-Glutamic acid (9CI);aminoglutarate;alpha-Glutamate;a-Glutamate;L-gluatmate;a-Aminoglutarate;L-Glutamic adid;2-Aminoglutarate;aminoglutaric acid;1ftj;1xff;(S)-glutamate;L-a-Aminoglutarate;alpha-Aminoglutarate;E620;Sodium Glutamate (L-glutamic Acid);(L)-glutamic acid;H-Glu;L-Glutamic,(S);L-(+)-Glutamate;L-Glutamic acid, homopolymer (9CI);poly(L-glutamicacid);PubChem8516;L-alpha-Aminoglutarate;Glutamic acid (USP);poly(L-glutamic acid);Tocris-0218;[3h]-l-glutamic acid;1ii5;(S)-(+)-Glutamate;(S)-Glu;AC1L1OVN;6106/4/3;DSSTox_CID_659;GGL;L-[14C(U)]glutamate;E 620;(S)-2-Aminopentanedioate;Biomol-NT_000170;EC 200-293-7;AC1Q28OF;AC1Q4U8B;AC1Q4U8C;L-Glutamic acid (JP17);SCHEMBL2202;(2S)-2-aminoglutaric acid;DSSTox_RID_75716;Á-poly(L-glutamic acid);H-Glu-2-Chlorotrityl Resin;DSSTox_GSID_20659;L-Glutamic acid, 98.5%;Lopac0_000529;S)-2-Aminopentanedioic acid;KSC355G8T;BPBio1_001132;CHEMBL575060;GTPL1369;HSDB 490;L-Glutamic acid, 99%, FCC;DTXSID5020659;BDBM17657;CHEBI:53374;CTK2F5389;1-Aminopropane-1,3-dicarboxylate;Glutamic acid, L- (7CI,8CI);L (+)-glutamic acid, alpha-form;1-amino-propane-1,3-dicarboxylate;ZINC1482113; Glu;Tox21_113053;ANW-32593;HSCI1_000269;PDSP1_000128;PDSP1_001539;PDSP2_000127;PDSP2_001523;AKOS006238837;AKOS015854087;AM81690;CCG-204619;DB00142;LS-2330;MCULE-7782530856;RP17345;RTC-066535;CAS-56-86-0;NCGC00024502-01;NCGC00024502-02;NCGC00024502-04;AC-11294;AJ-26313;AN-23567;DS-13284;Á-poly(L-glutamic acid) macromolecule;HY-14608;LS-71885;SC-19546;(S)-1-Aminopropane-1,3-dicarboxylic acid;AB0065761;AB1002631;ST2414601;TC-066535;A6810;CS-0003473;FT-0085107;FT-0627824;FT-0696960;G0059;L-Glutamic acid, BioUltra, >=99.5% (NT);L-Glutamic acid, tested according to Ph.Eur.;C00025;D00007;L-Glutamic acid, NIST(R)RM 8573, USGS40;M02979;M03872;L-Glutamic acid, JIS special grade, >=99.0%;L-Glutamic acid, NIST(R) RM 8574, USGS41;002G634;SR-01000597730;I04-1668;J-502415;L-Glutamic acid, ReagentPlus(R), >=99% (HPLC);L-Glutamic acid, Vetec(TM) reagent grade, >=99%;SR-01000597730-1;L-Glutamic acid, >=99%, FCC, natural sourced, FG;F8889-8668;Z1250208666;UNII-3KX376GY7L component WHUUTDBJXJRKMK-VKHMYHEASA-N;UNII-61LJO5I15S component WHUUTDBJXJRKMK-VKHMYHEASA-N;27322E29-9696-49C1-B541-86BEF72DE2F3;Glutamic acid, European Pharmacopoeia (EP) Reference Standard;L-Glutamic acid, certified reference material, TraceCERT(R);Glutamic acid, United States Pharmacopeia (USP) Reference Standard;L-Glutamic acid, from non-animal source, meets EP testing specifications, suitable for cell culture, 98.5-100.5%;L-Glutamic acid, PharmaGrade, Ajinomoto, EP, manufactured under appropriate GMP controls for Pharma or Biopharmaceutical production, suitable for cell culture;DL-Glutamic acid;617-65-2;2-aminopentanedioic acid;Glutamic acid, DL-;Glutamic acid DL-form;DL-Glu;NSC 9967;(+-)-Glutamic acid;Glutaminsaeure;H-DL-Glu-OH;poly(glutamic acid);Poly-L-Glutamic Acid (MW50,600);DL-Glutamicacid;2-azanylpentanedioic acid;L -2-Aminopentanedioic acid;Glutamic acid, D-;l-(5-14c)glutamic acid;glutaminsaure;polyglutamicacid;DL-Glutamate;poly(glutamicacid);D,L-glutamic acid;DL-Glutaminic acid;laevo-glutamic acid;53931-70-7;PubChem12377;PubChem12379;Glutamic acid (USAN);ACMC-209lur;ACMC-1AXQE;Á-poly(glutamic acid);2-Amino-pentanedioic acid;Pentanedioic acid, (S)-;(.+/-.)-Glutamic acid;D -alpha-Aminoglutaric acid;D -2-Aminopentanedioic acid;4-Amino-1,5-pentanedioic acid;2-aminopentanedioic acidglutamic acid;Á-poly(glutamic acid) macromolecule;1385-E(R,S)-2-Amino-pentanedioicacid; rac-(R*)-2-Aminopentanedioic acid; 2-Amino-pentanedioic acid;;L-Glutamic acid, ion(1-);Glutamate (1-);L-Glutamate ion;GLUTAMATE  CAGED;2-aminopentanedioate;glutamate(2-);glutamic acid dianion;AC1NNVU2;2-aminopentanedioateglutamate;L-glutamic acid dianion;(2S)-2-aminopentanedioate;(S)-2-Aminopentanedioic acid dianion;Glutammato di calcio [Italian];Glutamat;L-glutamate(2-);Glutamic acid ion (1-);(2R)-2-amino-5-hydroxy-5-oxopentanoate;D-glutamic acid;6893-26-1;H-D-Glu-OH;(R)-2-aminopentanedioic acid;D-Glu;(2R)-2-aminopentanedioic acid;D-glutamate;D(-)-Glutamic acid;D-2-Aminopentanedioic acid;Glutamic acid D-form;D-Glutamicacid;D-2-Aminoglutaric acid;D-Glutaminic acid;D-(-)-Glutamic acid;R-(-)-Glutamic acid;D-Glutaminsaeure;MFCD00063112;UNII-Q479989WEA;L(+)-Glutamic acid;Á-D-Glutamic Acid;Tocris-0217;Lopac-G-2128;CHEMBL76232;CHEBI:15966;WHUUTDBJXJRKMK-GSVOUGTGSA-N;Q479989WEA;(r)-glutamic acid;DGL;NCGC00024501-02;(r)-1-aminopropane-1,3-dicarboxylic acid;138-16-9;D(-)-Glutamic acid, 99+%;delta-Glutamate;ÁDPGA;delta-Glutaminate;Glutamic acid #;glutamic acid d-;delta-Glutamic acid;delta-Glutaminsaeure;D-2-Aminoglutarate;EINECS 230-000-8;NSC 77686;R-(-)-Glutamate;PDGA;delta-Glutaminic acid;poly(D-glutamicacid);Lopac-Á-2128;delta-2-Aminoglutarate;D-2-Aminopentanedioate;PubChem10977;AI3-09072;(R)-2-aminopentanedioate;delta-2-Aminopentanedioate;D-alpha-Aminoglutaric acid;Biomol-NT_000169;delta-2-Aminoglutaric acid;poly-D-Á-glutamic acid;(R)-2-Aminoglutaric acid;D-[14C]Glu;DSSTox_CID_28601;DSSTox_RID_82871;Á-poly(D-glutamic acid);D-Glutamic acid, >=99%;DSSTox_GSID_48675;SCHEMBL43222;KSC491O5N;(2R)-2-aminopentanedioicacid;delta-2-Aminopentanedioic acid;AC1L2M41;BPBio1_001130;GTPL4708;BDBM26431;CHEBI:53375;CTK3J1756;ZINC895124;ACT08602;KS-00000A9T;D-Glutamic acid, >=99% (TLC);Tox21_113052;ANW-35567;PDSP1_000131;PDSP1_001486;PDSP2_000130;PDSP2_001470;SBB006707;AKOS015854118;CS-6255;DB02517;RP21121;RTC-066721;NCGC00015470-01;NCGC00024501-01;NCGC00024501-03;NCGC00024501-04;AC-15064;AC-24113;AJ-24146;AS-12791;BR-47369;Á-poly(D-glutamic acid) macromolecule;SC-09473;SC-49449;ST075000;TL806175;CAS-6893-26-1;AB0010642;AB1001986;HY-100805;ST2406765;TC-066721;AM20100640;FT-0624571;G0057;EN300-78764;R-(-)-1-Aminopropane-1,3-dicarboxylic acid;R-(?)-1-Aminopropane-1,3-dicarboxylic acid; (R)-2-Aminopentanedioic acid; D-Glu; R-(-)-1-Aminopropane-1,3-dicarboxylic acid;hydrogen glutamate;glutamate(1-);2-ammoniopentanedioate;glutamic acid monoanion;Glutamine Analogue, 4;2-azaniumylpentanedioate;L-Glutamic acid",HMDB0000148,C00025,M00028,
isoleucylglutamate,isoleucylglutamate;isoleucylglutamic acid;Isoleucyl-Glutamate;L-Isoleucyl-L-Glutamate;Isoleucine-Glutamate dipeptide,NA,NA,M02441,
Tartaric acid,"Tartaric acid;tartarate;2,3-dihydroxybutanedioate;DL-Tartaric acid;tartaric acid;2,3-Dihydroxysuccinic acid;2,3-Dihydroxybutanedioic acid;Racemic acid;Uvic acid;Traubensaure;Racemic tartaric acid;DL-Tartrate;Paratartaric acid;Paratartaric aicd;Threaric acid;Resolvable tartaric acid;BUTANEDIOIC ACID, 2,3-DIHYDROXY-;(+)-Tartaric acid;Natural tartaric acid;Acidum tartaricum;Tartaric acid D,L;Tartaric acid, L-(+)-;Baros;dl-2,3-dihydroxybutanedioic acid;Dextrotartaric acid;(2RS,3RS)-Tartaric acid;tartrate;Butanedioic acid, 2,3-dihydroxy-, (2R,3R)-rel-;E-7050 (2S,3S)-2,3-dihydroxysuccinic acid;(2R,3R)-rel-2,3-Dihydroxysuccinic acid;Butanedioic acid, 2,3-dihydroxy-(R*,R*)-(.+/-.)-;Butanedioic acid, 2,3-dihydroxy-, (R*,R*)-;Tartaric acid, L-;DL-TARTARIC-2,3-D2 ACID;(2R,3R)-2,3-Dihydroxybernsteinsaeure;Tartaric acid (VAN);Butanedioic acid, 2,3-dihydroxy- (2R,3R)-;(.+-.)-Tartaric acid;(+)-(2R,3R)-Tartaric acid;d-alpha,beta-Dihydroxysuccinic acid;(+) tartaric acid;(-) tartaric acid;1,2-Dihydroxyethane-1,2-dicarboxylic acid;1,2-dicarboxylic acid;WLN: QVYQYQVQ;(-) D-Tartaric acid;Tartaric acid, (DL)-;Butanedioic acid, 2,3-dihydroxy- (R-(R*,R*))-;Butanedioic acid, 2,3-dihydroxy-, [S-(R*,R*)]-;Malic acid, 3-hydroxy-;laevo-(+)-tartaric acid;dextro,laevo-tartaric acid;Succinic acid,3-dihydroxy;Succinic acid,3-dihydroxy-;(.+/-.)-Tartaric acid;2,3-dihydroxy-succinic acid;Butanedioic acid,3-dihydroxy-;2,3-bis(oxidanyl)butanedioic acid;(+)-2,3-dihydroxybutanedioic acid;(S,S)-Tartaric acid;2,3-Dihydroxysuccinic acid, (DL)-;3-carboxy-2,3-dihydroxypropanoic acid;d-.alpha.,.beta.-Dihydroxysuccinic acid;(+)-2,3-dihydroxy-1,4-butanedioic acid;(+/-)-2,3-dihydroxy-1,4-butanedioic acid;2,3-Dihydrosuccinic acid;(2S,3S)-(-)-Tartaric acid; D(-)-Threaric acid;D(-)-Dihydroxysuccinic acid;Copper, mixt. with [R-(R*,R*)]-2,3-dihydroxybutanedioic acid monopotassium salt;L-tartaric acid",HMDB0000956,C00898,M00831,
S-Adenosyl-L-homocysteine,S-Adenosyl-L-homocysteine;S-adenosylhomocysteine;SAH;S-adenosylhomocysteine (SAH);S-(5'-ADENOSYL)-L-HOMOCYSTEINE,HMDB0000939,C00021,M00157,
Ala-THR,Ala-Thr;alanylthreonine;Ala-THR,NA,NA,M02312,
N-(L-Arginino)succinate,N-(L-Arginino)succinate;argininosuccinate;Argininosuccinic acid;N-(L-arginino)succinic acid;L-arginino-succinate;arginosuccinic acid,HMDB0000052,C03406,M01176,
FMN,FMN;flavin mononucleotide; Riboflavin-5-phosphate;flavin mononucleotide (FMN),HMDB0001520,C00061,M02692,
Glu-Glu,Glu-Glu;alpha-glutamylglutamate,HMDB0028818,C01425,M00448,
N-acetylaspartate,N-acetylaspartate;N-acetyl-L-aspartic acid;N-Acetyl-L-aspartic acid;N-Acetyl-L-aspartate;N-Acetylaspartic acid,HMDB0000812,C01042,M00211,
Octanoic acid,"Octanoic acid;n-caprylate;Ciliatine;n-caprylic acid;n-Caprylic acid;Caprylic acid;octanoic acid;caprylic acid;n-octanoic acid;Octylic acid;octoic acid;n-octylic acid;n-Octoic acid;1-heptanecarboxylic acid;Enantic acid;Octic acid;Kaprylsaeure;Acido octanoico;Acide octanoique;1-octanoic acid;Acidum octanocium;Kyselina kaprylova;capryloate;octylate;Octansaeure;OCTANOIC ACID (CAPRYLIC ACID);Caprylsaeure;caprilate;n-octoate;n-octylate;0ctanoic acid;1-heptanecarboxylate;caprylic-acid;octanic acid;Caprilic acid;acidum octanoicum;octanoate radical;Octanoic acid radical;n-heptanecarboxylic acid;Octanoic-2,2-D2 acid;Heptane-1-carboxylic acid;Caprylic/Capric Acid Blend;Octanoate",HMDB0000482,C06423,M01190,
3-hydroxyisobutyrate,3-hydroxyisobutyrate;3-Hydroxy-2-methylpropanoate;3-hydroxy-2-isobutyrate;3-hydroxy-2-methylpropionate;3-hydroxy-isobutyrate,HMDB0000023,C06001,M03634,
Salicylic acid,"Salicylic acid;salicylic acid;2-Hydroxybenzoic acid;o-hydroxybenzoic acid;2-Carboxyphenol;o-Carboxyphenol;Rutranex;Salonil;Keralyt;Duoplant;Freezone;Saligel;Ionil;Psoriacid-S-stift;Benzoic acid, 2-hydroxy-;Salicylic acid soap;Salicylic acid collodion;Verrugon;Phenol-2-carboxylic acid;Acidum salicylicum;Trans-Ver-Sal;Orthohydroxybenzoic acid;2-Hydroxybenzenecarboxylic acid;Acido salicilico;Ionil-Plus;Domerine;Sebucare;Duofilm;Sebulex;Salicyclic acid;Dr. Scholl's callus removers;Dr. Scholl's wart remover kit;Kyselina 2-hydroxybenzoova;Occlusal;DHS Sal Shampoo;Acido o-idrossibenzoico;Durasal;salicylic-acid;salicylicum acidum;2,3,4,5-tetradeuterio-6-hydroxybenzoic acid;Azurechelin;Anti-blemish;Salicylic acid rs;hydroxy-benzoic acid;ortho-salicylic acid;Phenol-2-carboxylate;2-hydroxobenzoic acid;Natural Salicylic Acid;o-hydroxy benzoic acid;2-hydroxy benzoic acid;Benzoic acid, o-hydroxy-;2-Hydroxybenzenecarboxylate;Lamivudine impurity, salicylic acid-;BENZOIC ACID,2-HYDROXY   SALICYLIC ACID;o-Hydroxybenzoate",HMDB0001895,C00805,M00490,
D-Fructose 1-phosphate,D-Fructose 1-phosphate;Fructose 1-phosphate;Fructose-1-phosphate;beta-D-fructose-1-P;Fructose-1-monophosphate;beta-D-fructose-1-phosphate,HMDB0001076,C01094,M00414,
salicylate,salicylate;2-hydroxyhippurate;Salicyluric acid;2-Hydroxyhippuric acid;Salicylurate;o-Hydroxyhippuric acid;N-Salicyloylglycine;Salicyloylglycine;o-Hydroxyhippurate,HMDB0000840,C07588,M01200,
D-Glucose 1-phosphate,D-Glucose 1-phosphate;glucose 1-phosphate;Glucose-1-phosphate;D-glucose-1-P;Glucose monophosphate;alpha-glucose-1-phosphate;beta-glucose-1-phosphate;glucose-1P;G1P,HMDB0001586,C00103,M00066,
4-Hydroxycinnamic acid,"4-Hydroxycinnamic acid;p-coumaric acid;p-Hydroxycinnamic acid;4-Coumaric acid;trans-4-Hydroxycinnamic acid;trans-p-Coumaric acid;3-(4-hydroxyphenyl)acrylic acid;p-Cumaric acid;Para-Coumaric acid;Hydroxycinnamic acid;Naringeninic acid;p-Hydroxy-cinnamic acid;(E)-p-Coumaric acid;trans-p-Coumarinic acid;4'-hydroxycinnamic acid;p-Hydroxyphenylacrylic acid;trans-4-coumaric acid;(E)-p-Hydroxycinnamic acid;trans-p-Hydroxycinnamic acid;Cinnamic acid, p-hydroxy-;4-coumarate;(2E)-3-(4-hydroxyphenyl)prop-2-enoic acid;3-(4-Hydroxyphenyl)-2-propenoic acid;trans-p-Hydroxycinnamate;4-Hydroxycinnamate;(E)-3-(4-hydroxyphenyl)prop-2-enoic acid;(E)-3-(4-Hydroxyphenyl)-2-propenoic acid;3-(4-hydroxyphenyl)prop-2-enoic acid;trans-4-hydroxycinnamate;(2E)-3-(4-hydroxyphenyl)acrylic acid;(E)-3-(4-Hydroxyphenyl)acrylic acid;UNII-IBS9D1EU3J;beta-(4-Hydroxyphenyl)acrylic acid;Cinnamic acid, p-hydroxy-, (E)-;Para coumaric acid;(E)-4-hydroxycinnamic acid;trans-p-Cumaric Acid;4-Hydroxycinamic acid;2-Propenoic acid, 3-(4-hydroxyphenyl)-;4-hydroxy cinnamic acid;beta-[4-Hydroxyphenyl]acrylic acid;trans-p-coumarate;(2E)-3-(4-Hydroxyphenyl)-2-propenoic acid;3-(4-hydroxyphenyl)acrylate;Coumaric Acids;p-coumaric-acid;(E)-3-[4-hydroxyphenyl]-2-propenoic acid;p-Hydroxycinnamic acid, 98%, predominantly trans;(E)-3-(4-hydroxyphenyl)prop-2-enoate;hydroxycinnamate;Para coumarate;Para-Coumarate;p-Cumarate;naringeninic-acid;p-Hydroxycinnamate;4'-Hydroxycinnamate;4-Hydroxy cinnamate;p-Coumaric acid,trans;p-Coumaric acid, trans;4-Hydroxyphenylpropenoate;p-Caumaric acid dehydrogenation homopolymer;P-HYDROXYL CINNAMIC ACID;RARECHEM BK HW 0163;SODIUM2,4-PENTANEDIONATE;b-[4-Hydroxyphenyl]acrylic acid;trans-p-HydroxyzimtsA currencyure;3-(4-Hydroxyphenyl)-2-propenoate;4-HYDROXYPHENYLPROPENOIC ACID;.beta.-[4-Hydroxyphenyl]acrylic acid;p-Coumarate",HMDB0002035,C00811,M00265,
acetylcarnitine,acetylcarnitine;O-Acetylcarnitine;O-Acetylcarnitine;Acetylcarnitine;Acetylcarnitine (C2);acyl-C12:1 (O-dodecenoyl-carnitine),HMDB0000201,C02571,M00212,
Leu-glu,Leu-Glu;leucylglutamate;Leu-glu,NA,NA,M02461,
5-Phospho-alpha-D-ribose 1-diphosphate,5-Phospho-alpha-D-ribose 1-diphosphate;PRPP;5-Phosphoribosyl diphosphate;5-Phosphoribosyl 1-pyrophosphate;Phosphoribosyl pyrophosphate;5-O-phosphono-alpha-D-ribofuranosyl diphosphate;5-phosphoribosyl-1-pyrophosphate,HMDB0000280,C00119,M00079,
3-Oxoalanine,3-Oxoalanine,HMDB0011602,C11822,,XMTCKNXTTXDPJX-REOHCLBHSA-N
Met-Asp,Met-Asp;methionylaspartate,NA,NA,M02479,
Phthalic acid,"Phthalic acid;phthalic acid;1,2-benzenedicarboxylic acid;benzene-1,2-dicarboxylic acid;o-phthalic acid;Pathalic acid;o-dicarboxybenzene;o-benzenedicarboxylic acid;Acide phtalique;PHTHALICACID;Kyselina ftalova;ortho-phthalic acid;Orthophthalic acid;Benzene-1,2-dicarboxylic Acid (Phthalic Acid);Alizarinate;Naphthalinate;Phthalinate;Alizarinic acid;Phthalinic acid;Pathalc acd;Naphthalinic acid;o-Carboxybenzoate;o-Carboxybenzoic acid;o-Benzenedicarboxylate;Phthalate",HMDB0002107,C01606,M01225,
2-hydroxyglutarate,2-hydroxyglutarate;2-Hydroxyglutaric acid,HMDB0059655,C02630,M01508,
Met-Glu,Met-Glu;methionylglutamate,NA,NA,M02482,
4-Hydroxybenzoate,"4-Hydroxybenzoate;4-Hydroxybenzoic acid;4-HYDROXYBENZOIC ACID;p-Hydroxybenzoic acid;4-Carboxyphenol;Benzoic acid, 4-hydroxy-;p-Salicylic acid;para-Hydroxybenzoic acid;Benzoic acid, p-hydroxy-;4-Hydroxybenzoesaeure;4-hydroxy benzoic acid;4-hydroxy-benzoic acid;Paraben-acid;Kyselina 4-hydroxybenzoova;4-Hydroxybenzoicacid;p-hydroxy benzoic acid;p-hydroxy-Benzoic acid;Hydroxybenzoic acid;Hydroxybenzenecarboxylic acid;4-hydroxy-benzoate;Benzoic acid, p-hydroxy;Benzoic acid, 4-hydroxy;p-Oxybenzoesaure;Acido p-idrossibenzoico;p-Salicylate;p-hydroxy-Benzoate;para-salicylic acid;4-hydoxybenzoic acid;4-hyroxybenzoic acid;parahydroxybenzoic acid;4-hydroxylbenzoic acid;4-Hydroxy-benzoesaeure;4-hydroxybenzoi c acid;4-hydroxyl benzoic acid;para-hydroxy benzoic acid;Para Hydroxy Benzoic Acid;4-Hydroxybenzenecarboxylic acid;p-Hydroxybenzoate",HMDB0000500,C00156,M00482,
Ketovaline,Ketovaline;3-methyl-2-oxobutyrate;2-Oxoisovaleric acid,HMDB0000019,C00141,M00053,
Propionic acid,"Propionic acid;propionic acid;Propanoic acid;ethylformic acid;methylacetic acid;Carboxyethane;Ethanecarboxylic acid;Pseudoacetic acid;Metacetonic acid;Monoprop;Luprosil;Prozoin;Propionoic acid;Acide propionique;Methyl acetic acid;Sentry grain preserver;Tenox P grain preservative;Propionic acid grain preserver;Propionsaeure;Propcorn;Propkorn;propoic acid;Propioic acid;acide propanoique;Kyselina propionova;Propanyl acid;n-propionic acid;metacetonate;propanate;pseudoacetate;ethanecarboxylate;Luprisol;proponic acid;proprionic acid;1-propanoic acid;2-methylacetic acid;NATURAL PROPIONIC ACID;Methylacetic Acid, Propanoic Acid;Carboxymethoxylaminehemihydrochloride;Propionate",HMDB0000237,C00163,M00702,
2-phosphoglycerate,2-phosphoglycerate;2-Phosphoglyceric acid;2PG,NA,NA,M02677,
4-Pyridoxic acid,"4-Pyridoxic acid;Pyridoxic acid;4-Pyridoxinic acid;4-Pyridoxylic acid;4-Pyridoxinsaeure;4-Pyridoxate;4-Pyridoxinecarboxylic acid;3-Hydroxy-5-(hydroxymethyl)-2-methylisonicotinic acid;2-Methyl-3-hydroxy-4-carboxy-5-hydroxymethylpyridine;3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carboxylic acid;4-Pyridoxinate;4-Pyridoxylate;3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylic acid;4-Pyridinecarboxylic acid, 3-hydroxy-5-(hydroxymethyl)-2-methyl-;4-Pyridoxinecarboxylate;ISONICOTINIC ACID, 3-HYDROXY-5-(HYDROXYMETHYL)-2-METHYL-;3-hydroxy-5-hydroxymethyl-2-methyl-isonicotinsaeure;3-hydroxy-5-hydroxymethyl-2-methyl-isonicotinate;3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinate;3-hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinate;3-hydroxy-5-hydroxymethyl-2-methyl-isonicotinic acid;3-hydroxy-5-(hydroxymethyl)-2-methyl-Isonicotinic acid;3-Hydroxy-5-(hydroxymethyl)-2-methyl-4-pyridinecarboxylate;3-Pyridinecarboxylic acid, 5-hydroxy-4-(hydroxymethyl)-6-methyl-;3-hydroxy-2-methyl-5-methylol-isonicotinic acid;pyridoxate",HMDB0000017,C00847,M00734,
"2,3-Bisphospho-D-glycerate","2,3-Bisphospho-D-glycerate;2,3-diphosphoglycerate;2,3-Diphosphoglyceric acid;2,3-diphospho-D-glycerate",HMDB0001294,C01159,M00319,
dTDP,dTDP;Thymidine 5'-diphosphate;5-TDP;5'-TDP;deoxy-TDP;thymidine-diphosphate;Thymidine 5'-pyrophosphate;TDP,HMDB0001274,C00363,M00080,
Oxoadipic acid,"Oxoadipic acid;2-Oxoadipic acid;2-Oxohexanedioic acid;alpha-Ketoadipic acid;2-oxoadipate;Oxoadipic acid;2-Oxo-hexanedioic acid;2-ketoadipate;2-Ketoadipic acid;alpha-Oxoadipic acid;Hexanedioic acid, 2-oxo-;Oxoadipate;2-keto-adipate;UNII-BB72FKL1M2;2-oxohexanedionic acid;alpha-ketoadipate;2-oxohexanedioate;a-oxoadipic acid;a-Ketoadipic acid;a-Ketoadipate;a-Oxoadipate;alpha-ketodipate;alpha-Oxoadipate;2-Oxo-hexanedioate;OOG;alpha-keto-adipic acid;.alpha.-Ketoadipic acid;HEXANEDIOIC ACID,2-OXO-;FGSBNBBHOZHUBO-UHFFFAOYSA-",HMDB0000225,C00322,M00566,
Phe-Asp,Phe-Asp;phenylalanylaspartate,NA,NA,M02499,
Xanthosine 5'-phosphate,Xanthosine 5'-phosphate;Xanthylic acid;XMP;(9-D-Ribosylxanthine)-5'-phosphate;xanthosine-5-phosphate,HMDB0001554,C00655,M00892,
Acetoacetate,Acetoacetate;Acetoacetic acid,HMDB0000060,C00164,M00156,
UDP,UDP;uridine 5'-diphosphate;5'-UDP;uridine-diphosphate;Uridine 5'-diphosphate(UDP);uridine 5'-diphosphate (UDP);UDPuridine 5'-diphosphate;Uridine 5'-pyrophosphate;Uridine 5'-pyrophosphoric acid,HMDB0000295,C00015,M00147,
